Carnet,Nota
200710721,15
200915877,11
200916076,10
200921961,12
201013444,8
201013474,4
201013517,8
201112052,12
201112080,13
201112209,17
201210405,18
201210670,22
201210680,11
201210711,8
201210758,5
201210772,16
201210858,7
201210912,10
201214921,14
201310629,11
201310640,14
201310644,-1
201310706,16
201315397,11
201318161,14
201318166,16
201318281,13
201318467,14
201321741,21
201321746,17
201321747,17
201321804,13
201400364,10
201400383,16
201400441,8
201400458,18
201400463,17
201400499,16
201400508,13
201400523,14
201400541,19
201400562,2
201400584,16
201400606,14
201400634,18
201400651,14
201400673,19
201400683,8
201407914,13
201407943,16
201407959,11
201407984,13
201413001,20
201413715,10
