199910871;18
200680047;28
200722421;17
200916276;14
201025011;0
201117060;15
201210074;23
201220014;14
201220325;21
201220380;15
201310142;0
201310529;21
201310602;17
201310645;21
201310710;17
201315049;26
201318183;17
201318186;10
201318227;18
201318304;17
201321726;17
201321738;24
201321745;11
201321802;23
201322312;17
201330970;23
201345055;15
201400370;9
201400427;12
201400434;12
201400459;23
201400460;12
201400485;18
201400525;21
201400600;21
201400700;14
201400715;15
201407923;9
201407927;21
201407941;17
201407942;17
201407980;14
201407992;23
201408040;15
201408058;10
201408066;15
201408087;14
201408184;24
201408248;11
201411974;15
201480044;14
201502799;18
201502800;18
201502802;17
201502807;21
201502816;17
201502824;21
201502826;20
201502840;19
201502842;20
201502862;23
201502869;24
201502877;18
201502878;14
201502882;23
201502884;20
201502891;25
201502907;24
201502908;15
201502915;20
201502927;15
201502931;15
201502934;18
201502936;18
201502954;20
201502976;24
201502979;18
201502990;18
201502993;20
201503001;18
201503005;21
201503007;29
201503033;23
201503040;23
201503041;20
201503043;21
201503044;24
201503051;26
201503073;20
201503078;20
201503080;15
201503095;15
201503098;18
201503099;18
201503146;20
201503184;18
201503209;0
201503236;13
201503250;20
201503263;15
201503265;14
201503267;12
201503293;18
201503294;18
201503324;24
201503339;23
201513228;23
201513247;14
201513248;15
201513275;15
201513276;12
201513286;15
201513315;17
201513331;23
201513338;9
201513411;9
201513487;20
201513551;18
201513561;15
201516923;17
201580020;24
201580036;20
201580037;29
