CARNE,NOTA
200110035,-1
200413951,19
200610921,21
200715791,21
200810517,19
200811350,18
200817708,19
200918254,18
201012065,18
201013572,19
201013785,13
201020026,21
201021737,21
201112161,19
201112270,15
201124083,22
201210617,22
201210683,20
201210729,-1
201210755,17
201220297,22
201280027,22
201310522,23
201310614,18
201310682,22
201380027,16
