Carnet,Notas
200318925,4
200721587,17
200722625,5
200915898,17
201013411,8
201013443,-1
201013489,16
201013547,14
201112048,8
201210622,19
201210693,9
201222400,20
201310604,17
201310605,19
201318128,14
201400457,17
201400473,20
201400501,22
201400632,14
201400656,24
201400760,18
201400799,23
201408063,18
