Carnet,Zona 20
200410156,0
200722625,11
200815745,6
200915898,9
201013411,10
201013489,21
201112048,17
201215313,9
201222400,11
201310601,13
201310604,9
201310605,8
201318128,17
201321780,14
201400412,13
201400457,20
201400473,15
201400476,15
201400478,19
201400501,24
201400632,21
201400656,25
201400760,15
201400799,29
201408063,17
